,LQA Bid-Ask Spread,Yld to Mty (Mid),S&P Outlook,cluster1,Issuer Name
338,0.3005519750801723,5.105321338591585,0,2,Apple Inc
339,0.435049572516459,5.716944625843136,0,2,JPMorgan Chase & Co
343,0.1396623211991406,5.7072813886404274,0,0,JPMorgan Chase & Co
345,0.0895218341596988,5.97498509931372,0,0,JPMorgan Chase & Co
349,0.2557930360187116,4.981016831011047,-1,1,Intel Corp
350,0.3657781711874139,5.596010313467783,0,2,JPMorgan Chase & Co
352,0.0987503617197147,5.948631600671008,0,0,Morgan Stanley
356,0.121419157307978,4.694278781996212,0,0,Apple Inc
358,0.1865797115011399,5.917056268398146,-1,1,UBS Group AG
359,0.1557768832325941,4.68010488036192,0,0,Apple Inc
363,0.1259019027353524,4.743707926783617,0,0,BlackRock Inc
366,0.219415543522157,5.980744107147199,0,0,Morgan Stanley
367,0.1440091712861801,5.768048032448745,0,0,JPMorgan Chase & Co
368,0.1562611922846164,4.676592978075187,0,0,Apple Inc
369,0.1429503743435352,6.09628326382928,0,0,Morgan Stanley
370,0.096098221438493,3.7763780709270716,0,0,BlackRock Inc
371,0.1292275556702391,5.828363982976231,0,0,JPMorgan Chase & Co
372,0.3173340752213244,7.4825498305244,0,2,Intesa Sanpaolo SpA
373,0.4597808206373061,5.733720777614784,0,2,JPMorgan Chase & Co
376,0.2813753436624681,5.629470023771164,0,2,Morgan Stanley
377,0.1687596658871097,3.308289459154471,0,0,Apple Inc
378,0.0595304245577537,6.795309965033603,0,0,Danske Bank A/S
379,0.098095460219283,4.7715527147828425,0,0,Apple Inc
380,0.1213208055724465,5.851782838621472,0,0,JPMorgan Chase & Co
381,0.0353354254319514,6.473787610150923,0,0,Morgan Stanley
384,0.3096721525194403,5.035307413276497,0,2,Apple Inc
385,0.0507919864909223,6.168869593851551,0,0,JPMorgan Chase & Co
386,0.1648573600686714,4.0506517969602625,0,0,JPMorgan Chase & Co
388,0.037449499551735,6.445713711400473,0,0,Morgan Stanley
390,0.1542442164675195,5.809229076149498,0,0,JPMorgan Chase & Co
393,0.0462521062369588,5.081056508219224,0,0,Apple Inc
396,0.2912336241194952,6.620844842767824,0,2,Intesa Sanpaolo SpA
398,0.419367243982714,5.565077607015209,-1,1,Intel Corp
399,0.1227614632654778,6.452276343240201,-1,1,UBS Group AG
401,0.161205391061599,5.706079445692401,0,0,JPMorgan Chase & Co
402,0.0623207005878986,5.581148738118194,0,0,Nasdaq Inc
403,0.1330011270804998,5.857592071040096,0,0,JPMorgan Chase & Co
404,0.1863092819216429,5.081623322013838,0,0,BlackRock Inc
408,0.2091364432872863,3.9339004871479837,0,0,JPMorgan Chase & Co
409,0.1246977563559213,5.2633388304051385,0,0,JPMorgan Chase & Co
410,0.0941069430806868,5.911726180502123,0,0,JPMorgan Chase & Co
411,0.1326431534283096,5.373244427827966,0,0,Apple Inc
413,0.2651465524430351,5.540584834381235,0,0,AbbVie Inc
