,Issuer Name,Amt Issued,Issue Date,Maturity,Moody Rtg,S&P Rating,Currency,ISIN,Yld to Mty (Mid),Yield at Issue,Cpn,Moody's Rating Outlook,S&P Outlook,LQA Bid-Ask Spread,Market Cap
108,Apple Inc,1134162500.0,2/23/2016,2/23/2036,Aaa,AA+,USD,US037833BW97,4.651941995376589,4.5360000000000005,4.5,STABLE,STABLE,0.2829243538052786,2962954783520
110,Morgan Stanley,1844508000.0,4/20/2022,4/20/2037,Baa1,BBB+,USD,US61747YES00,6.879656469436014,5.297,5.297,STABLE,STABLE,0.2240234920279174,125896804740
111,Apple Inc,2075182500.0,2/8/2021,2/8/2028,Aaa,AA+,USD,US037833EC07,4.639907430960774,1.236,1.2,STABLE,STABLE,0.1131555481129599,2962954783520
114,Apple Inc,2282700750.0,2/8/2021,2/8/2031,Aaa,AA+,USD,US037833ED89,4.6442007241931424,1.653,1.65,STABLE,STABLE,0.1478193411674479,2962488200960
115,Intesa Sanpaolo SpA,1000000000.0,5/19/2023,5/19/2026,Baa1,BBB,EUR,XS2625195891,3.930169898239955,4.042,4.0,STABLE,STABLE,0.0717557492398417,47827802150
118,Intesa Sanpaolo SpA,750000000.0,8/29/2023,8/29/2027,Baa1,BBB,EUR,XS2673808486,4.226378946911164,4.46,4.375,STABLE,STABLE,0.0896136044788928,47827802150
120,Morgan Stanley,1849044000.0,1/19/2023,1/19/2038,Baa1,BBB+,USD,US61747YFB65,6.510844783738518,5.948,5.948,STABLE,STABLE,0.1705356563046229,125896804740
122,Apple Inc,2948822500.0,2/23/2016,2/23/2026,Aaa,AA+,USD,US037833BY53,4.905863867835796,3.2760000000000002,3.25,STABLE,STABLE,0.0753985767879805,2962954783520
123,Morgan Stanley,2960142250.0,4/21/2023,4/21/2034,A1,A-,USD,US61747YFE05,5.9657186219119005,5.25,5.25,STABLE,STABLE,0.1441805307300406,125896804740
124,Apple Inc,2111258250.0,2/9/2017,2/9/2027,Aaa,AA+,USD,US037833CJ77,4.721730457972708,3.35,3.35,STABLE,STABLE,0.1054171045017824,2962488200960
