,Issuer Name,Amt Issued,Issue Date,Maturity,Moody Rtg,S&P Rating,Currency,ISIN,Yld to Mty (Mid),Yield at Issue,Cpn,Moody's Rating Outlook,S&P Outlook,LQA Bid-Ask Spread,Market Cap
269,JPMorgan Chase & Co,3236037000.0,4/22/2020,4/22/2026,A1,A-,USD,US46647PBK12,6.524326637100446,2.083,2.083,STABLE,STABLE,0.0451239729367749,443654140000
271,Nasdaq Inc,687381750.0,6/28/2023,8/15/2053,Baa2,BBB,USD,US63111XAK72,5.94365488123407,5.99,5.95,STABLE,STABLE,0.3857426670717795,32223471230
272,Alpha Bank SA,450000000.0,12/16/2022,6/16/2027,Ba2,BB-,EUR,XS2562213145,6.4546102924119415,7.75,7.5,POS,STABLE,0.2876210825136768,3715682320
273,Apple Inc,1942736400.0,8/5/2021,8/5/2028,Aaa,AA+,USD,US037833EH93,4.594010392420062,1.434,1.4,STABLE,STABLE,0.1013943471950956,2962954783520
274,JPMorgan Chase & Co,1379824500.0,2/24/2020,#N/A Field Not Applicable,Baa2,BBB-,USD,US48128BAH42,8.266763033998485,4.0,4.0,STABLE,STABLE,0.3412041093542019,443654140000
275,Danske Bank A/S,1000000000.0,1/10/2023,1/10/2031,A3,A+,EUR,XS2573569576,4.207376153616967,4.235,4.125,POS,STABLE,0.1764117310087396,151054745590
277,Alpha Bank SA,500000000.0,9/23/2021,3/23/2028,Ba2,BB-,EUR,XS2388172855,6.438871023524786,2.625,2.5,POS,STABLE,0.3424107906815271,3715682320
279,Danske Bank A/S,750000000.0,2/17/2022,2/17/2027,Baa2,BBB+,EUR,XS2443438051,4.502478627517046,1.3960000000000001,1.375,POS,STABLE,0.0878665385401687,151054745590
281,Morgan Stanley,2769624000.0,4/28/2020,4/28/2026,A1,A-,USD,US6174468Q59,6.546741829198007,2.188,2.188,STABLE,STABLE,0.0654768536098366,125896804740
282,UBS Group AG,1718559500.0,8/5/2022,8/5/2025,A3,A-,USD,USH42097DJ36,6.704601583543716,4.49,4.49,POS,NEG,0.0648396436070925,80112709880
283,JPMorgan Chase & Co,1784184000.0,6/1/2017,3/1/2025,A1,A-,USD,US46647PAH91,6.723711558306789,3.22,3.22,STABLE,STABLE,0.0204909986732974,443654140000
285,UBS Group AG,2128515750.0,1/9/2017,1/9/2028,A3,A-,USD,US225401AC20,5.92670987747304,4.282,4.282,POS,NEG,0.1846517570901186,80112709880
286,Morgan Stanley,2730450000.0,7/25/2016,7/27/2026,A1,A-,USD,US61761J3R84,5.484059971005255,3.205,3.125,STABLE,STABLE,0.0835617944796463,125905011300
287,Apple Inc,1054470000.0,8/20/2020,8/20/2030,Aaa,AA+,USD,US037833DY36,4.672079272492408,1.276,1.25,STABLE,STABLE,0.1641424750594155,2962954783520
288,Intesa Sanpaolo SpA,1369687500.0,1/15/2016,1/15/2026,Baa3,BB+,USD,US46115HAW79,6.906084584531465,5.71,5.71,STABLE,STABLE,0.1898689865047324,47827802150
290,Intesa Sanpaolo SpA,1000000000.0,7/4/2019,7/4/2029,Baa1,BBB,EUR,XS2022424993,4.339170454436372,1.831,1.75,STABLE,STABLE,0.2476018235214178,47827802150
291,Apple Inc,1054470000.0,8/20/2020,8/20/2025,Aaa,AA+,USD,US037833DX52,4.924387372577725,0.598,0.55,STABLE,STABLE,0.091058087463956,2962954783520
294,UBS Group AG,1173097500.0,9/22/2023,12/22/2027,A3,A-,USD,US225401BC11,6.219939374218513,6.327,6.327,POS,NEG,0.0992493602200267,80112709880
296,AbbVie Inc,1500927750.0,9/18/2018,11/14/2048,A3,A-,USD,US00287YBD04,5.489415923152784,4.942,4.875,STABLE,STABLE,0.3291130542228741,245882865540
297,Morgan Stanley,2452383000.0,6/1/2021,5/30/2025,A1,A-,USD,US61747YEA91,6.232747006632888,0.79,0.79,STABLE,STABLE,0.0362960649859778,125905011300
301,UBS Group AG,1754970000.0,4/5/2016,4/15/2026,A3u,A-,USD,USG91703AK72,5.959733248361004,4.152,4.125,POS,NEG,0.112212532356716,80112709880
302,Apple Inc,938337000.0,2/9/2017,2/9/2047,Aaa,AA+,USD,US037833CH12,5.050517257542158,4.2620000000000005,4.25,STABLE,STABLE,0.3693523839313836,2962799256000
303,Intesa Sanpaolo SpA,1469282000.0,6/26/2014,6/26/2024,Baa3,BB+,USD,US46115HAT41,7.564217145764059,5.017,5.017,STABLE,STABLE,0.1914711509490935,47827802150
304,Nasdaq Inc,750000000.0,6/28/2023,2/15/2032,Baa2,BBB,EUR,XS2643673952,4.148081470169905,4.561,4.5,STABLE,STABLE,0.2679011470754591,32223471230
305,Morgan Stanley,2551095000.0,9/16/2021,9/16/2036,Baa1,BBB+,USD,US61747YEF88,6.629847713680093,2.484,2.484,STABLE,STABLE,0.1164663631756552,125896804740
306,Apple Inc,1324089000.0,2/9/2015,2/9/2025,Aaa,AA+,USD,US037833AZ38,5.07969284634053,2.516,2.5,STABLE,STABLE,0.0567765005307362,2962954783520
310,Alpha Bank SA,400000000.0,11/1/2022,11/1/2025,Ba2,BB-,EUR,XS2549772924,6.346051978103885,7.25,7.0,POS,STABLE,0.3277378865515176,3715682320
311,JPMorgan Chase & Co,2589309000.0,11/8/2021,11/8/2032,A1,A-,USD,US46647PCR55,5.742443878268135,2.545,2.545,STABLE,STABLE,0.1590073552744087,443654140000
312,JPMorgan Chase & Co,2281075000.0,7/21/2015,7/15/2025,A1,A-,USD,US46625HMN79,5.452318592300134,3.946,3.9,STABLE,STABLE,0.0625139539119501,443654140000
313,Morgan Stanley,2633310000.0,1/23/2019,1/23/2030,A1,A-,USD,US6174468G77,5.901393198115309,4.431,4.431,STABLE,STABLE,0.1276884998050079,125905011300
314,JPMorgan Chase & Co,1672160000.0,2/4/2021,2/4/2027,A1,A-,USD,US46647PBW59,5.8325561713424365,1.04,1.04,STABLE,STABLE,0.0893256178228013,443654140000
315,AbbVie Inc,1450000000.0,11/17/2016,5/17/2024,A3,A-,EUR,XS1520899532,4.014336917446274,1.407,1.375,STABLE,STABLE,0.0415192397159454,245904051990
316,Apple Inc,1286151000.0,11/13/2017,11/13/2027,Aaa,AA+,USD,US037833DK32,4.595528964286325,3.034,3.0,STABLE,STABLE,0.1349901287661615,2962488200960
317,Apple Inc,898909000.0,6/20/2017,6/20/2027,Aaa,AA+,USD,US037833CX61,4.6558696325977404,3.027,3.0,STABLE,STABLE,0.1261959982523762,2962954783520
318,JPMorgan Chase & Co,2343368500.0,9/22/2021,9/22/2027,A1,A-,USD,US46647PCP99,5.7599238982032395,1.47,1.47,STABLE,STABLE,0.0902647770316865,443654140000
320,JPMorgan Chase & Co,1675646000.0,6/23/2021,6/23/2025,A1,A-,USD,US46647PCK03,6.238162050313994,0.969,0.969,STABLE,STABLE,0.0342992710111384,443654140000
321,JPMorgan Chase & Co,1097839500.0,1/28/2014,2/1/2024,A1,A-,USD,US46625HJT86,5.690964309073636,3.943,3.875,STABLE,STABLE,0.0722850039828364,443668595050
322,Intel Corp,2038956750.0,7/29/2015,7/29/2025,A2,A,USD,US458140AS90,5.259762034165017,3.718,3.7,NEG,NEG,0.0617719493457753,186958520000
324,Renk AG/Frankfurt am Main,520000000.0,7/13/2020,7/15/2025,B1,B+,EUR,XS2199445193,6.392547086504757,5.75,5.75,STABLE,POS,0.7212466575802312,#N/A Field Not Applicable
326,Deutsche Bank AG,550000000.0,1/11/2023,1/11/2029,Baa1,BBB-,EUR,DE000A30V5C3,5.238071349820602,5.441,5.375,STABLE,POS,0.2666051931330999,22573248090
327,Deutsche Bank AG,1500000000.0,3/17/2015,3/17/2025,Baa1,BBB-,EUR,DE000DB7XJP9,4.267225441093484,1.241,1.125,STABLE,POS,0.1572588918943944,22573248090
328,Deutsche Bank AG,691228500.0,1/13/2016,1/13/2026,Baa1,BBB-,USD,US25152R2Y86,5.955299631945726,4.119,4.1,STABLE,POS,0.2501320280504598,22573248090
330,JPMorgan Chase & Co,896806250.0,10/21/2010,10/15/2040,A1,A-,USD,US46625HHV50,5.539867960826445,5.563000000000001,5.5,STABLE,STABLE,0.3303174841281048,443654140000
335,Morgan Stanley,1000000000.0,10/25/2022,10/25/2028,A1,A-,EUR,XS2548080832,4.350765435305395,4.813,4.813,STABLE,STABLE,0.146273559431711,125896804740
336,JPMorgan Chase & Co,2202642500.0,12/5/2018,12/5/2029,A1,A-,USD,US46647PAX42,5.719626655910955,4.452,4.452,STABLE,STABLE,0.1882283155950517,443654140000
338,Apple Inc,2490219000.0,2/8/2021,2/8/2051,Aaa,AA+,USD,US037833EF38,5.105321338591585,2.682,2.65,STABLE,STABLE,0.3005519750801723,2962954783520
339,JPMorgan Chase & Co,934670000.0,8/21/2013,8/16/2043,A3,BBB+,USD,US46625HJM34,5.716944625843136,5.678,5.625,STABLE,STABLE,0.435049572516459,443654140000
343,JPMorgan Chase & Co,1841530500.0,4/23/2018,4/23/2029,A1,A-,USD,US46647PAR73,5.7072813886404274,4.005,4.005,STABLE,STABLE,0.1396623211991406,443654140000
345,JPMorgan Chase & Co,2321379500.0,11/19/2020,11/19/2026,A1,A-,USD,US46647PBT21,5.97498509931372,1.045,1.045,STABLE,STABLE,0.0895218341596988,443654140000
349,Intel Corp,576960750.0,12/11/2012,12/15/2032,A2,A,USD,US458140AN04,4.981016831011047,4.065,4.0,NEG,NEG,0.2557930360187116,186958520000
350,JPMorgan Chase & Co,2080309500.0,4/22/2020,4/22/2051,A1,A-,USD,US46647PBN50,5.596010313467783,3.109,3.109,STABLE,STABLE,0.3657781711874139,443654140000
352,Morgan Stanley,1386783000.0,1/19/2023,1/28/2027,A1,A-,USD,US61747YEZ43,5.948631600671008,5.05,5.05,STABLE,STABLE,0.0987503617197147,125905011300
356,Apple Inc,1840452000.0,5/11/2017,5/11/2027,Aaa,AA+,USD,US037833CR93,4.694278781996212,3.2,3.2,STABLE,STABLE,0.121419157307978,2962954783520
358,UBS Group AG,1855082000.0,3/23/2017,3/23/2028,A3u,A-,USD,USH4209UAC02,5.917056268398146,4.253,4.253,POS,NEG,0.1865797115011399,80112709880
359,Apple Inc,844668000.0,8/5/2021,8/5/2031,Aaa,AA+,USD,US037833EJ59,4.68010488036192,1.746,1.7,STABLE,STABLE,0.1557768832325941,2962488200960
363,BlackRock Inc,894362000.0,4/29/2019,4/30/2029,Aa3,AA-,USD,US09247XAP69,4.743707926783617,3.346,3.25,STABLE,STABLE,0.1259019027353524,110200630110
366,Morgan Stanley,1962602000.0,7/20/2022,7/20/2033,A1,A-,USD,US61747YEU55,5.980744107147199,4.889,4.889,STABLE,STABLE,0.219415543522157,125896804740
367,JPMorgan Chase & Co,3100720000.0,1/25/2022,1/25/2033,A1,A-,USD,US46647PCU84,5.768048032448745,2.963,2.963,STABLE,STABLE,0.1440091712861801,443654140000
368,Apple Inc,1619140250.0,5/11/2020,5/11/2030,Aaa,AA+,USD,US037833DU14,4.676592978075187,1.727,1.65,STABLE,STABLE,0.1562611922846164,2962954783520
369,Morgan Stanley,2734458000.0,3/31/2020,4/1/2031,A1,A-,USD,US6174468P76,6.09628326382928,3.622,3.622,STABLE,STABLE,0.1429503743435352,125905011300
370,BlackRock Inc,700000000.0,5/6/2015,5/6/2025,Aa3,AA-,EUR,XS1117297785,3.7763780709270716,1.286,1.25,STABLE,STABLE,0.096098221438493,110200630110
371,JPMorgan Chase & Co,2283230000.0,4/25/2017,5/1/2028,A1,A-,USD,US46647PAF36,5.828363982976231,3.54,3.54,STABLE,STABLE,0.1292275556702391,443654140000
372,Intesa Sanpaolo SpA,455069000.0,9/23/2019,9/23/2049,Baa1,BBB,USD,US46115HBN61,7.4825498305244,4.742,4.7,STABLE,STABLE,0.3173340752213244,47827802150
373,JPMorgan Chase & Co,1594773250.0,5/29/2015,6/1/2045,A3,BBB+,USD,US46625HLL23,5.733720777614784,4.996,4.95,STABLE,STABLE,0.4597808206373061,443654140000
376,Morgan Stanley,2202137500.0,1/27/2015,1/27/2045,A1,A-,USD,US61747YDY86,5.629470023771164,4.345,4.3,STABLE,STABLE,0.2813753436624681,125905011300
377,Apple Inc,1400000000.0,11/10/2014,11/10/2026,Aaa,AA+,EUR,XS1135337498,3.308289459154471,1.671,1.625,STABLE,STABLE,0.1687596658871097,2962954783520
378,Danske Bank A/S,1162763750.0,1/9/2023,1/9/2026,Baa2,BBB+,USD,US23636BBF58,6.795309965033603,6.466,6.466,POS,STABLE,0.0595304245577537,150968527130
379,Apple Inc,1816976000.0,9/11/2019,9/11/2026,Aaa,AA+,USD,US037833DN70,4.7715527147828425,2.076,2.05,STABLE,STABLE,0.098095460219283,2962954783520
380,JPMorgan Chase & Co,2557425750.0,2/1/2017,2/1/2028,A1,A-,USD,US46625HRY89,5.851782838621472,3.782,3.782,STABLE,STABLE,0.1213208055724465,443654140000
381,Morgan Stanley,1844508000.0,4/20/2022,4/17/2025,A1,A-,USD,US61747YEQ44,6.473787610150923,3.62,3.62,STABLE,STABLE,0.0353354254319514,125905011300
384,Apple Inc,1182535200.0,8/5/2021,8/5/2061,Aaa,AA+,USD,US037833EL06,5.035307413276497,2.855,2.85,STABLE,STABLE,0.3096721525194403,2962488200960
385,JPMorgan Chase & Co,2076168600.0,12/10/2021,12/10/2025,A1,A-,USD,US46647PCT12,6.168869593851551,1.561,1.561,STABLE,STABLE,0.0507919864909223,443654140000
386,JPMorgan Chase & Co,1500000000.0,1/27/2015,1/27/2025,A1,A-,EUR,XS1174469137,4.0506517969602625,1.506,1.5,STABLE,STABLE,0.1648573600686714,443654140000
388,Morgan Stanley,1793618000.0,7/23/2019,7/22/2025,A1,A-,USD,US6174468J17,6.445713711400473,2.72,2.72,STABLE,STABLE,0.037449499551735,125896804740
390,JPMorgan Chase & Co,2542600500.0,4/22/2020,4/22/2031,A1,A-,USD,US46647PBL94,5.809229076149498,2.5220000000000002,2.522,STABLE,STABLE,0.1542442164675195,443654140000
393,Apple Inc,1286151000.0,11/13/2017,1/13/2025,Aaa,AA+,USD,US037833DF47,5.081056508219224,2.7720000000000002,2.75,STABLE,STABLE,0.0462521062369588,2963062097500
396,Intesa Sanpaolo SpA,682603500.0,9/23/2019,9/23/2029,Baa1,BBB,USD,US46115HBL06,6.620844842767824,4.083,4.0,STABLE,STABLE,0.2912336241194952,47827802150
398,Intel Corp,1718559500.0,8/5/2022,8/5/2052,A2,A,USD,US458140CB48,5.565077607015209,4.913,4.9,NEG,NEG,0.419367243982714,186958520000
399,UBS Group AG,1158524400.0,5/12/2022,5/12/2026,A3,A-,USD,USH42097CZ86,6.452276343240201,4.488,4.488,POS,NEG,0.1227614632654778,80112709880
401,JPMorgan Chase & Co,2136862500.0,7/23/2018,7/23/2029,A1,A-,USD,US46647PAV85,5.706079445692401,4.203,4.203,STABLE,STABLE,0.161205391061599,443654140000
402,Nasdaq Inc,458254500.0,6/28/2023,6/28/2025,Baa2,BBB,USD,US63111XAG60,5.581148738118194,5.6930000000000005,5.65,STABLE,STABLE,0.0623207005878986,32223471230
403,JPMorgan Chase & Co,1366759500.0,5/27/2020,6/1/2028,A1,A-,USD,US46647PBR64,5.857592071040096,2.182,2.182,STABLE,STABLE,0.1330011270804998,443654140000
404,BlackRock Inc,1156606250.0,5/6/2020,1/28/2031,Aa3,AA-,USD,US09247XAR26,5.081623322013838,1.937,1.9,STABLE,STABLE,0.1863092819216429,110200630110
408,JPMorgan Chase & Co,1000000000.0,2/19/2014,2/19/2026,A1,A-,EUR,XS1034975406,3.9339004871479837,3.071,3.0,STABLE,STABLE,0.2091364432872863,443654140000
409,JPMorgan Chase & Co,1028464800.0,11/16/2016,12/1/2027,A3,BBB+,USD,US46625HRX07,5.2633388304051385,3.644,3.625,STABLE,STABLE,0.1246977563559213,443654140000
410,JPMorgan Chase & Co,2914541000.0,4/22/2021,4/22/2027,A1,A-,USD,US46647PCB04,5.911726180502123,1.578,1.578,STABLE,STABLE,0.0941069430806868,443654140000
411,Apple Inc,1610395500.0,5/11/2017,5/11/2024,Aaa,AA+,USD,US037833CU23,5.373244427827966,2.865,2.85,STABLE,STABLE,0.1326431534283096,2962954783520
413,AbbVie Inc,2372865300.0,5/14/2015,5/14/2045,A3,A-,USD,US00287YAS81,5.540584834381235,4.703,4.7,STABLE,STABLE,0.2651465524430351,245912879680
417,JPMorgan Chase & Co,1181793200.0,11/19/2020,11/19/2031,A1,A-,USD,US46647PBU93,5.677013398889844,1.764,1.764,STABLE,STABLE,0.1771524753122466,443668595050
421,JPMorgan Chase & Co,1665452000.0,4/22/2021,4/22/2042,A1,A-,USD,US46647PCD69,5.690600700392398,3.157,3.157,STABLE,STABLE,0.362685531307103,443654140000
422,Intel Corp,1227542500.0,8/5/2022,8/5/2027,A2,A,USD,US458140BY59,4.922737974237146,3.773,3.75,NEG,NEG,0.131737233890854,186958520000
423,Morgan Stanley,2443095000.0,1/23/2018,1/24/2029,A1,A-,USD,US61744YAP34,5.877747964375504,3.7720000000000002,3.772,STABLE,STABLE,0.1596459626618177,125896804740
425,JPMorgan Chase & Co,2000000000.0,5/18/2017,5/18/2028,A1,A-,EUR,XS1615079974,4.190947243735944,1.6380000000000001,1.638,STABLE,STABLE,0.129661792604117,443654140000
426,Intel Corp,1807876000.0,11/21/2019,11/15/2029,A2,A,USD,US458140BH27,4.860879579149649,2.465,2.45,NEG,NEG,0.1864118172124699,186958520000
429,JPMorgan Chase & Co,825839000.0,2/16/2021,2/16/2025,A1,A-,USD,US46647PBY16,5.91342021136334,0.5630000000000001,0.563,STABLE,STABLE,0.0280326397249518,443654140000
430,Morgan Stanley,1436987500.0,11/18/2022,11/18/2033,A1,A-,GBP,XS2558389891,5.800164176191471,5.789,5.789,STABLE,STABLE,0.2926917825923882,125896804740
431,Intesa Sanpaolo SpA,300000000.0,7/12/2019,7/12/2029,Baa3,BB+,EUR,XS2026295126,7.453275905668415,4.463,4.375,STABLE,STABLE,0.3929424727943047,47827802150
434,BlackRock Inc,718293000.0,3/18/2014,3/18/2024,Aa3,AA-,USD,US09247XAL55,5.453891641361638,3.5400000000000005,3.5,STABLE,STABLE,0.0773297448069198,110200630110
435,Intel Corp,883830600.0,8/5/2022,8/5/2062,A2,A,USD,US458140CC21,5.628576251137705,5.063,5.05,NEG,NEG,0.3744010556705638,186958520000
437,Morgan Stanley,2305635000.0,4/20/2022,4/20/2028,A1,A-,USD,US61747YER27,5.891829465912204,4.21,4.21,STABLE,STABLE,0.1373019462882946,125905011300
438,BlackRock Inc,646146900.0,3/28/2017,3/15/2027,Aa3,AA-,USD,US09247XAN12,4.790218848415149,3.248,3.2,STABLE,STABLE,0.118283040814985,110200630110
439,Intel Corp,1381113000.0,3/25/2020,3/25/2025,A2,A,USD,US458140BP43,5.365073585487728,3.434,3.4,NEG,NEG,0.0593520770442648,186958520000
443,Morgan Stanley,2058520000.0,1/25/2021,4/28/2032,A1,A-,USD,US6174468X01,5.919643302489561,1.928,1.928,STABLE,STABLE,0.1683819388101663,125905011300
445,UBS Group AG,1321090500.0,1/11/2022,2/11/2043,A3,A-,USD,USH42097CU99,6.16173042522823,3.1790000000000003,3.179,POS,NEG,0.5635118106296133,80112709880
447,AbbVie Inc,878241000.0,5/12/2016,5/14/2036,A3,A-,USD,US00287YAV11,5.2796054127561245,4.341,4.3,STABLE,STABLE,0.2418149931372912,245882865540
449,UBS Group AG,1707096000.0,8/10/2021,8/10/2027,A3,A-,USD,US902613AH15,6.182240747545615,1.494,1.494,POS,NEG,0.1418987901967055,80112709880
450,JPMorgan Chase & Co,2914541000.0,4/22/2021,4/22/2032,A1,A-,USD,US46647PCC86,5.777861014459285,2.58,2.58,STABLE,STABLE,0.1758932042103688,443711960170
452,UBS Group AG,1235755500.0,2/10/2021,#N/A Field Not Applicable,Baa3,BB,USD,US902613AD01,8.401758649350707,4.375,4.375,POS,NEG,0.4650403062668819,80112709880
454,Morgan Stanley,1646816000.0,1/25/2021,1/25/2052,A1,A-,USD,US6174468Y83,5.516999854396544,2.802,2.802,STABLE,STABLE,0.3621495870572319,125896804740
459,UBS Group AG,2073980250.0,1/12/2023,1/12/2034,A3,A-,USD,US902613AV09,6.25966697665686,5.9590000000000005,5.959,POS,NEG,0.336529481766166,80112709880
460,Intesa Sanpaolo SpA,1090841250.0,7/14/2017,7/14/2027,Baa1,BBB,USD,US46115HBB24,6.787261385099311,3.9010000000000002,3.875,STABLE,STABLE,0.52083808047396,47827802150
461,Intel Corp,690556500.0,3/25/2020,3/25/2040,A2,A,USD,US458140BL39,5.308497576832544,4.607,4.6,NEG,NEG,0.317284926824111,186958520000
464,JPMorgan Chase & Co,957913750.0,12/22/2011,1/6/2042,A1,A-,USD,US48126BAA17,5.504203241631583,5.4110000000000005,5.4,STABLE,STABLE,0.2800942640684433,443668595050
465,Intel Corp,1150282500.0,5/11/2017,5/11/2024,A2,A,USD,US458140BD13,5.580054301685745,2.879,2.875,NEG,NEG,0.1507126268801988,186958520000
467,Intesa Sanpaolo SpA,456260000.0,9/20/2022,9/20/2032,Baa3,BB+,GBP,XS2534883363,8.006542619331235,8.505,8.505,STABLE,STABLE,0.3955181877704309,47827802150
470,Apple Inc,1795710000.0,8/4/2016,8/4/2046,Aaa,AA+,USD,US037833CD08,5.126543759123917,3.8649999999999998,3.85,STABLE,STABLE,0.3136378326753758,2962488200960
474,UBS Group AG,1473051000.0,8/5/2022,8/5/2033,A3,A-,USD,US902613AT52,6.388810903193167,4.988,4.988,POS,NEG,0.3648736240730391,80112709880
476,Apple Inc,681366000.0,9/11/2019,9/11/2024,Aaa,AA+,USD,US037833DM97,5.4632778080193605,1.8479999999999999,1.8,STABLE,STABLE,0.0773277198694516,2962954783520
478,JPMorgan Chase & Co,1832321250.0,1/23/2018,1/23/2029,A1,A-,USD,US46647PAM86,5.7267616131050785,3.509,3.509,STABLE,STABLE,0.1389265584713293,443668595050
479,JPMorgan Chase & Co,1542026500.0,6/7/2016,6/15/2026,A1,A-,USD,US46625HRS12,5.246288451997755,3.205,3.2,STABLE,STABLE,0.0932067249053535,443654140000
481,Morgan Stanley,2547198000.0,7/20/2021,7/20/2027,A1,A-,USD,US61747YEC57,5.9853617337072,1.512,1.512,STABLE,STABLE,0.0938863252844338,125896804740
482,JPMorgan Chase & Co,3001922000.0,11/10/2017,11/15/2048,A1,A-,USD,US46647PAL04,5.667061872883497,3.964,3.964,STABLE,STABLE,0.3448215929603876,443654140000
489,Apple Inc,1000000000.0,9/17/2015,9/17/2027,Aaa,AA+,EUR,XS1292389415,3.13559601225887,2.04,2.0,STABLE,STABLE,0.214856389357775,2962954783520
490,Intel Corp,834728900.0,8/5/2022,8/5/2029,A2,A,USD,US458140BZ25,4.899999315792027,4.041,4.0,NEG,NEG,0.2183809315220867,186958520000
494,Intel Corp,920226000.0,5/11/2017,5/11/2027,A2,A,USD,US458140AX85,4.936291603014514,3.189,3.15,NEG,NEG,0.1337524063766912,186958520000
495,Morgan Stanley,3157234500.0,1/22/2020,1/22/2031,A1,A-,USD,US6174468L62,5.852811751546496,2.6990000000000003,2.699,STABLE,STABLE,0.1452712581511016,125905011300
497,JPMorgan Chase & Co,2508240000.0,2/4/2021,2/4/2032,A1,A-,USD,US46647PBX33,5.7195281697714995,1.953,1.953,STABLE,STABLE,0.1441251567153159,443654140000
498,JPMorgan Chase & Co,1066935000.0,8/10/2021,8/9/2025,A1,A-,USD,US46647PCM68,6.130314658162723,0.768,0.768,STABLE,STABLE,0.0436978682863058,443654140000
499,JPMorgan Chase & Co,1217307000.0,7/21/2011,7/15/2041,A1,A-,USD,US46625HJB78,5.460379076256607,5.630000000000001,5.6,STABLE,STABLE,0.2846311174492434,443654140000
503,Apple Inc,1000000000.0,9/17/2015,1/17/2024,Aaa,AA+,EUR,XS1292384960,3.8510946838178914,1.4260000000000002,1.375,STABLE,STABLE,0.0438529203875789,2962954783520
504,Apple Inc,1362732000.0,9/11/2019,9/11/2049,Aaa,AA+,USD,US037833DQ02,5.100980538555337,2.987,2.95,STABLE,STABLE,0.2670524678084948,2962954783520
505,JPMorgan Chase & Co,1350620800.0,11/19/2020,11/19/2041,A1,A-,USD,US46647PBV76,5.669990270393792,2.525,2.525,STABLE,STABLE,0.2820763080258021,443654140000
507,UBS Group AG,2677772500.0,5/14/2021,5/14/2032,A3,A-,USD,US225401AU28,6.3176831954646016,3.0909999999999997,3.091,POS,NEG,0.23574375798097,80112709880
509,JPMorgan Chase & Co,1634922000.0,6/1/2021,6/1/2029,A1,A-,USD,US46647PCJ30,5.672849188164321,2.069,2.069,STABLE,STABLE,0.155886584682814,443654140000
511,Intel Corp,851912000.0,8/12/2021,8/12/2028,A2,A,USD,US458140BT64,4.865266364656407,1.631,1.6,NEG,NEG,0.1229289064663091,186958520000
513,JPMorgan Chase & Co,2231545000.0,5/6/2019,5/6/2030,A1,A-,USD,US46647PBD78,5.764400301004179,3.702,3.702,STABLE,STABLE,0.1678308984641156,443654140000
519,Apple Inc,1250000000.0,5/24/2017,5/24/2025,Aaa,AA+,EUR,XS1619312173,3.548457044059755,0.899,0.875,STABLE,STABLE,0.0832057893003547,2962954783520
523,UBS Group AG,2745921000.0,4/1/2020,4/1/2031,A3,A-,USD,US225401AP33,6.517944359087999,4.194,4.194,POS,NEG,0.1533666226404243,80112709880
524,UBS Group AG,1816976000.0,9/11/2019,9/11/2025,A3,A-,USD,US225401AM02,6.758434101589056,2.593,2.593,POS,NEG,0.0357111159395061,80112709880
526,JPMorgan Chase & Co,828578750.0,3/5/2021,3/5/2028,A1,A-,CAD,CA48124BAG01,5.412974892398044,1.8960000000000001,1.896,STABLE,STABLE,0.1054750835233874,443711960170
528,Intel Corp,920742000.0,3/25/2020,3/25/2027,A2,A,USD,US458140BQ26,4.97030600018328,3.782,3.75,NEG,NEG,0.1255308796772437,186958520000
531,JPMorgan Chase & Co,1750126000.0,1/29/2019,1/29/2027,A1,A-,USD,US46647PBA30,6.061810415280167,3.96,3.96,STABLE,STABLE,0.1151441510322065,443711960170
532,BlackRock Inc,883476000.0,12/10/2021,2/25/2032,Aa3,AA-,USD,US09247XAS09,5.102464108626293,2.198,2.1,STABLE,STABLE,0.2250734238700171,110200630110
534,Intesa Sanpaolo SpA,393291500.0,6/10/2020,6/10/2030,Baa3,BB+,GBP,XS2185883100,7.923835718751798,5.148,5.148,STABLE,STABLE,0.3340794221052533,47827802150
535,Danske Bank A/S,1173097500.0,9/22/2023,9/22/2026,A3,A+,USD,US23636ABE01,6.127214295416528,6.259,6.259,POS,STABLE,0.068825352098784,150968527130
540,Morgan Stanley,2062662500.0,12/10/2020,12/10/2026,A1,A-,USD,US6174468V45,6.14876269702615,0.985,0.985,STABLE,STABLE,0.0805110320786492,125896804740
542,Danske Bank A/S,1132212500.0,4/1/2022,4/1/2028,Baa2,BBB+,USD,US23636ABC45,6.297314486540482,4.298,4.298,POS,STABLE,0.1444623978445899,150968527130
543,JPMorgan Chase & Co,731893000.0,1/28/2014,2/1/2044,A1,A-,USD,US46625HJU59,5.476731364412353,4.861,4.85,STABLE,STABLE,0.4548721173900054,443654140000
545,Morgan Stanley,2206920000.0,1/24/2022,1/21/2033,A1,A-,USD,US61747YEL56,5.925540806996164,2.943,2.943,STABLE,STABLE,0.1970958122539497,125896804740
548,Intel Corp,892200000.0,5/19/2016,5/19/2026,A2,A,USD,US458140AU47,4.9376785847070845,2.629,2.6,NEG,NEG,0.0943708548173891,186958520000
550,Danske Bank A/S,1162763750.0,1/9/2023,1/9/2026,Baa2,BBB+,USD,US23636ABF75,6.820818098790051,6.466,6.466,POS,STABLE,0.0595304245577537,150968527130
551,UBS Group AG,1158524400.0,5/12/2022,5/12/2028,A3,A-,USD,USH42097DB00,6.207263188995722,4.751,4.751,POS,NEG,0.190814850322978,80112709880
